Template	Occurrences	Simulation
uneven-100	994	0
uneven-1	6	0
uneven-100	978	1
uneven-1	22	1
uneven-100	987	2
uneven-1	13	2
uneven-100	991	3
uneven-1	9	3
uneven-100	984	4
uneven-1	16	4
uneven-100	990	5
uneven-1	10	5
uneven-100	978	6
uneven-1	22	6
uneven-100	989	7
uneven-1	11	7
uneven-100	986	8
uneven-1	14	8
uneven-100	992	9
uneven-1	8	9
