Template	Occurrences	Simulation
otu_1	619	mid_0
otu_2	295	mid_0
otu_3	86	mid_0
otu_1	619	mid_1
otu_2	291	mid_1
otu_3	90	mid_1
otu_1	585	mid_2
otu_2	309	mid_2
otu_3	106	mid_2
otu_1	608	mid_3
otu_2	256	mid_3
otu_3	136	mid_3
otu_1	575	mid_4
otu_2	303	mid_4
otu_3	122	mid_4
