Template	Occurrences	Simulation
otu_1	480	low_0
otu_2	393	low_0
otu_3	127	low_0
otu_1	570	low_1
otu_2	289	low_1
otu_3	141	low_1
otu_1	626	low_2
otu_2	302	low_2
otu_3	72	low_2
otu_1	604	low_3
otu_2	287	low_3
otu_3	109	low_3
otu_1	717	low_4
otu_2	211	low_4
otu_3	72	low_4
