Template	Occurrences	Simulation
otu_1	584	high_0
otu_2	303	high_0
otu_3	113	high_0
otu_1	620	high_1
otu_2	285	high_1
otu_3	95	high_1
otu_1	612	high_2
otu_2	301	high_2
otu_3	87	high_2
otu_1	610	high_3
otu_2	305	high_3
otu_3	85	high_3
otu_1	609	high_4
otu_2	288	high_4
otu_3	103	high_4
