	Bacillus_subtilis
0	0.999029291139855
5	0.6185361208790291
6	0.999524647050435
7	0.9987763093489966
8	0.06263502313560054
12	0.9983957219251337
14	0.9988802209697287
15	0.999094940718617
20	0.9988099488277996
23	0.9990497458070033
24	0.9993809352829744
28	0.9989105715414052
29	0.998645245609002
31	0.9989073426573427
33	0.9995727992754675
37	0.9993187639653387
42	0.9992436847678112
44	0.9988481695494423
48	0.9997053537228557
49	0.9986950450861923
52	0.9994300825240504
53	0.9991055656179423
56	0.9990092143069454
59	0.9996160196597933
60	0.5704620235400903
67	0.9991149398159075
68	0.4502516680323071
72	0.9981203714146085
76	0.9987147685940855
77	0.9992761578458457
79	0.9990477500449674
80	0.9644557448078146
86	0.999433787058637
88	0.9994750270361076
90	0.49346694931586044
91	0.4996562285142821
95	0.6626215002531688
96	0.9994919473657471
97	0.9573759247464603
100	0.9990994379433281
104	0.9994872649430222
108	0.9995899734849522
114	0.9877678362814222
124	0.9989254244573395
126	0.999355404290429
127	0.9978827960464002
131	0.999302643851498
132	0.9996268192561265
133	0.9990940223595283
134	0.9983527963449418
137	0.999115974343611
138	0.9878703447944565
139	0.9980751648140128
152	0.9997190300918772
154	0.9992678522037649
158	0.9514992295450526
164	0.9994557156658638
167	0.9991752350580084
169	0.49877028587547706
172	0.9990331417521621
175	0.9988727472558442
176	0.999247795099385
177	0.9990986118622679
184	0.9990998199639929
187	0.99899849774662
188	0.9990592551652772
191	0.9983929891473201
192	0.9851703570553151
193	0.9986655169581998
196	0.9992809699715085
197	0.9990125732341518
200	0.9983554134307903
205	0.662717663279375
207	0.9993192725292429
208	0.9990508240572956
209	0.9986047679729139
210	0.9451966212666209
212	0.417910447761194
213	0.8996505997578959
214	0.9992167613080086
223	0.9991544611568851
224	0.9989534685975171
226	0.9989236252302247
227	0.9990200881920627
229	0.26535186825502993
231	0.6678512848551121
232	0.9988022517666787
237	0.9992766726943942
238	0.48193592365371507
241	0.9992187839069485
247	0.9991630398393037
250	0.9994259142315862
251	0.9990306414245694
255	0.999180537772087
257	0.6883748089374345
261	0.8931769994554576
263	0.9995852916781864
267	0.9985613689710002
271	0.9966060571048945
272	0.9993910978505754
274	0.9951862905555021
276	0.9988701245875955
279	0.9991914182523853
281	0.9992945869165112
282	0.9989781204228311
283	0.9991333080548183
285	0.9987154934840486
286	0.998470727169231
290	0.9990052180833265
297	0.9121822705761818
298	0.998166987443864
301	0.18899266240450266
302	0.9993282459157351
305	0.9988545365559037
308	0.9989593956169744
311	0.998817283431455
317	0.9549242272246966
321	0.9993530299762777
325	0.9992498194878143
326	0.999051210892099
327	0.9990088337690335
328	0.8139854023404512
330	0.9988483243118738
338	0.9992339806197097
340	0.9991700368201847
341	0.9985178735190314
